# Matrix elements of the unitary transform
#       from Cartesian to Radial circular harmonic oscillator states
#       up to ell = 23
#       Each matrix element is sign*sqrt(nominator^2/denominator^2)
# nx ny     emm nrn     sign*nominator^2 denominator^2

0 0   0 0   1 1
8 7  -7 4   -2079 16384
8 7  -9 3   -693 16384
8 7 -11 2   3003 16384
8 7 -13 1   429 16384
8 7 -15 0   -6435 16384
9 6   1 7   -1575 16384
9 6   3 6   -625 16384
9 6   5 5   2535 16384
9 6   7 4   33 16384
9 6   9 3   -3179 16384
9 6  11 2   429 16384
9 6  13 1   3003 16384
9 6  15 0   -5005 16384
10 5  -1 7   -945 16384
10 5  -3 6   2535 16384
10 5  -5 5   -1 16384
10 5  -7 4   -2695 16384
10 5  -9 3   1485 16384
10 5 -11 2   715 16384
10 5 -13 1   -5005 16384
10 5 -15 0   3003 16384
11 4   1 7   -2079 16384
11 4   3 6   -33 16384
11 4   5 5   2695 16384
11 4   7 4   -1849 16384
11 4   9 3   -147 16384
11 4  11 2   3757 16384
11 4  13 1   -4459 16384
11 4  15 0   1365 16384
12 3  -1 7   -693 16384
12 3  -3 6   3179 16384
12 3  -5 5   -1485 16384
12 3  -7 4   -147 16384
12 3  -9 3   3249 16384
12 3 -11 2   -4719 16384
12 3 -13 1   2457 16384
12 3 -15 0   -455 16384
13 2   1 7   -3003 16384
13 2   3 6   429 16384
13 2   5 5   715 16384
13 2   7 4   -3757 16384
13 2   9 3   4719 16384
13 2  11 2   -2809 16384
13 2  13 1   847 16384
13 2  15 0   -105 16384
14 1  -1 7   -429 16384
14 1  -3 6   3003 16384
14 1  -5 5   -5005 16384
14 1  -7 4   4459 16384
14 1  -9 3   -2457 16384
14 1 -11 2   847 16384
14 1 -13 1   -169 16384
14 1 -15 0   15 16384
15 0   1 7   -6435 16384
15 0   3 6   5005 16384
15 0   5 5   -3003 16384
15 0   7 4   1365 16384
15 0   9 3   -455 16384
15 0  11 2   105 16384
15 0  13 1   -15 16384
15 0  15 0   1 16384

0 16   0 8   6435 32768
0 16   2 7   11440 32768
0 16   4 6   8008 32768
0 16   6 5   4368 32768
0 16   8 4   1820 32768
0 16  10 3   560 32768
0 16  12 2   120 32768
0 16  14 1   16 32768
0 16  16 0   1 32768
1 15  -2 7   -2860 32768
1 15  -4 6   -8008 32768
1 15  -6 5   -9828 32768
1 15  -8 4   -7280 32768
1 15 -10 3   -3500 32768
1 15 -12 2   -1080 32768
1 15 -14 1   -196 32768
1 15 -16 0   -16 32768
2 14   0 8   3432 32768
2 14   2 7   3432 32768
2 14   6 5   -3640 32768
2 14   8 4   -8736 32768
2 14  10 3   -8232 32768
2 14  12 2   -4096 32768
2 14  14 1   -1080 32768
2 14  16 0   -120 32768
3 13  -2 7   -4004 32768
3 13  -4 6   -5720 32768
3 13  -6 5   -780 32768
3 13  -8 4   1872 32768
3 13 -10 3   8100 32768
3 13 -12 2   8232 32768
3 13 -14 1   3500 32768
3 13 -16 0   560 32768
4 12   0 8   2772 32768
4 12   2 7   1232 32768
4 12   4 6   -1760 32768
4 12   6 5   -6000 32768
4 12   8 4   -1296 32768
4 12  10 3   1872 32768
4 12  12 2   8736 32768
4 12  14 1   7280 32768
4 12  16 0   1820 32768
5 11  -2 7   -4620 32768
5 11  -4 6   -2376 32768
5 11  -6 5   1156 32768
5 11  -8 4   6000 32768
5 11 -10 3   780 32768
5 11 -12 2   -3640 32768
5 11 -14 1   -9828 32768
5 11 -16 0   -4368 32768
6 10   0 8   2520 32768
6 10   2 7   280 32768
6 10   4 6   -4096 32768
6 10   6 5   -2376 32768
6 10   8 4   1760 32768
6 10  10 3   5720 32768
6 10  14 1   -8008 32768
6 10  16 0   -8008 32768
7 9  -2 7   -4900 32768
7 9  -4 6   -280 32768
7 9  -6 5   4620 32768
7 9  -8 4   1232 32768
7 9 -10 3   -4004 32768
7 9 -12 2   -3432 32768
7 9 -14 1   2860 32768
7 9 -16 0   11440 32768
8 8   0 8   2450 32768
8 8   4 6   -5040 32768
8 8   8 4   5544 32768
8 8  12 2   -6864 32768
8 8  16 0   12870 32768
9 7  -2 7   -4900 32768
9 7  -4 6   280 32768
9 7  -6 5   4620 32768
